,PRIO3.SAO,RAIZ4.SAO,ITUB4.SAO,IGTA3.SAO,ARZZ3.SAO,ENGI11.SAO,SLCE3.SAO,WEGE3.SAO,GGBR4.SAO,PSSA3.SAO
2021-08-05,17.27,7.2235,24.7319,39.54,92.0,42.21,43.46,35.842,30.74,26.1868
2021-08-06,17.47,7.0838,25.4244,39.51,93.6,42.3,42.73,36.2218,31.36,26.1769
2021-08-09,17.58,7.0539,25.7212,39.85,92.9,42.46,43.25,36.1419,30.96,26.4091
2021-08-10,18.72,7.0838,25.2348,38.36,92.1,41.61,43.05,36.0719,31.74,26.1621
2021-08-11,18.3,6.8544,25.5151,38.94,91.98,41.54,43.55,36.1319,31.509,27.2639
2021-08-12,17.75,6.9441,25.037,37.75,92.78,40.5331,43.5,35.4922,31.0769,27.4517
2021-08-13,17.42,6.994,25.375,37.58,91.44,42.7001,43.4,35.7521,30.7626,27.595
2021-08-16,16.77,7.004,25.0122,36.61,89.7,42.9858,42.8,34.3928,29.8,28.0891
2021-08-17,16.75,6.8045,24.9215,35.73,87.58,42.71,41.58,34.6726,28.95,27.2491
2021-08-18,17.28,6.7945,24.971,35.73,87.8,42.33,41.72,33.5632,28.7,28.43
2021-08-19,18.1,6.9142,24.6495,35.89,89.2,43.63,42.55,35.1724,27.74,28.8796
2021-08-20,18.03,6.9641,24.5588,36.57,90.4,44.25,42.17,35.962,27.65,28.9241
2021-08-23,18.68,7.1537,24.8226,35.92,90.25,43.87,42.31,35.7321,27.85,28.7857
2021-08-24,19.08,7.2335,25.5151,36.88,91.74,45.05,42.77,35.6421,28.89,28.7264
2021-08-25,18.92,7.3233,25.5481,37.11,92.63,45.18,42.42,36.3618,29.05,28.3954
2021-08-26,18.06,7.0838,24.9298,35.15,91.32,44.15,41.3,36.7516,28.44,28.3361
2021-08-27,19.4,7.1736,25.3585,35.57,92.39,44.53,41.75,36.8815,28.95,28.6523
2021-08-30,19.3,7.0938,25.1771,34.83,91.53,44.53,42.05,36.6616,28.69,28.5733
2021-08-31,19.17,7.0838,25.5069,34.19,89.42,44.37,40.74,35.5422,28.32,28.2472
2021-09-01,18.63,7.0539,25.6182,33.6,88.44,45.22,46.2,36.2718,28.15,27.9359
2021-09-02,18.77,6.7845,24.6944,32.48,85.79,44.38,44.55,35.7221,27.39,27.4616
2021-09-03,18.15,6.9841,24.5542,32.51,85.89,43.81,44.3,36.2318,27.38,26.9181
2021-09-06,18.53,6.9142,24.8676,33.12,86.6,44.24,45.0,36.3618,27.69,27.0416
2021-09-08,18.26,6.5151,23.6882,31.62,82.53,43.03,43.87,36.4717,27.05,25.9941
2021-09-09,19.78,6.3954,24.0016,32.45,83.31,44.26,45.19,38.8205,27.41,26.1868
2021-09-10,19.1,6.4852,23.7624,32.61,83.16,43.16,44.6,38.6406,27.3,26.335
2021-09-13,19.52,6.9342,24.0593,33.2,84.1,43.45,44.36,38.8805,27.51,26.167
2021-09-14,19.63,7.1736,23.9109,32.89,84.68,43.45,44.04,39.3603,27.55,25.8953
2021-09-15,21.09,7.2235,23.5232,32.38,84.38,43.05,44.12,39.82,27.33,25.4111
2021-09-16,20.89,7.1038,23.5067,32.05,83.92,43.22,44.34,39.88,26.4,25.7026
2021-09-17,20.07,7.2235,22.9459,32.11,83.29,43.52,43.89,39.1704,24.6,25.7866
2021-09-20,18.93,7.0938,22.4262,32.24,82.98,42.6,42.05,38.8705,24.37,25.0504
2021-09-21,19.26,7.2634,22.3685,33.2,86.76,43.53,41.9,39.7301,24.15,25.2727
2021-09-22,20.7,7.2934,22.8881,33.1,86.5,43.73,42.43,40.5497,25.1965,25.5445
2021-09-23,21.17,7.2135,23.6799,33.03,87.95,43.86,42.71,41.1494,26.616,25.4555
2021-09-24,21.99,6.9841,23.35,32.68,90.0,43.45,42.66,41.3193,26.2414,25.4259
2021-09-27,23.11,7.1337,23.9604,32.61,87.54,42.92,42.31,40.86,26.34,25.4012
2021-09-28,21.93,6.9242,23.416,31.6,82.62,42.4,41.16,40.67,25.6,24.9763
2021-09-29,22.85,6.8344,23.8366,31.77,83.0,43.84,42.69,39.87,26.07,24.7935
2021-09-30,25.02,7.0838,23.8614,31.54,82.87,44.03,45.6,39.63,27.1,24.4377
2021-10-01,26.35,7.3532,24.4844,32.68,85.69,44.42,46.12,40.17,27.7,24.5168
2021-10-04,26.06,7.004,24.0788,31.69,80.1,44.11,47.35,38.78,27.14,24.0573
2021-10-05,26.2,7.1138,24.6625,30.8,78.98,43.88,45.57,37.53,27.0,24.1759
2021-10-06,26.25,6.99,24.7416,30.71,78.95,42.91,46.7,37.51,26.46,23.331
2021-10-07,26.7,7.13,24.2173,30.95,79.42,43.31,46.88,37.56,26.89,22.7282
2021-10-08,27.02,7.14,24.3954,33.0,84.1,44.52,47.47,38.65,27.18,23.3063
2021-10-11,27.79,7.03,23.97,32.5,83.01,45.23,49.25,38.62,27.17,22.491
2021-10-13,26.95,7.05,23.9997,33.94,85.9,46.0,48.5,40.58,27.63,22.8566
2021-10-14,28.15,7.15,23.881,33.2,85.4,46.15,49.0,40.6,28.16,22.3329
2021-10-15,27.74,7.1,24.4943,33.36,89.16,45.9,48.4,40.12,28.17,22.659
2021-10-18,27.16,6.98,24.6625,33.88,88.02,46.05,48.75,40.36,28.18,22.822
2021-10-19,26.77,6.69,24.0788,31.86,83.35,44.11,48.04,39.35,27.83,23.1037
2021-10-20,26.86,6.68,24.6328,31.33,82.63,44.25,47.69,40.12,27.41,23.4001
2021-10-21,26.29,6.43,24.2173,29.7,79.74,43.02,46.2,39.35,26.56,23.6373
2021-10-22,26.48,6.37,23.2874,28.62,78.09,41.55,46.3,38.89,26.73,23.5286
2021-10-25,27.42,6.63,23.7425,30.23,80.45,42.27,46.98,39.55,27.96,23.7954
2021-10-26,27.15,6.58,23.4853,29.11,77.43,40.42,45.07,39.66,28.05,23.242
2021-10-27,25.35,6.63,23.6633,30.29,77.87,41.02,43.63,39.2,27.35,23.4989
2021-10-28,23.51,6.78,23.6139,30.21,75.96,39.28,43.49,37.83,27.4,23.3902
2021-10-29,23.47,6.78,23.0599,29.94,73.9,39.49,43.58,37.0,26.9,23.0642
2021-11-01,23.4,6.79,23.9755,31.05,76.01,40.31,43.08,36.96,24.8419,23.4
2021-11-03,23.8,6.9,24.2032,32.12,80.06,41.26,44.58,37.68,23.8613,23.77
2021-11-04,23.39,6.75,22.9262,31.73,79.6,40.01,44.76,37.72,23.8426,23.6
2021-11-05,27.57,6.75,22.6491,32.72,79.18,40.62,45.57,37.68,22.89,24.11
2021-11-08,27.76,6.77,22.5303,31.95,76.5,40.32,47.9,37.1,23.8,24.09
2021-11-09,26.5,6.73,22.3026,32.83,76.25,40.89,48.1,36.79,23.99,24.57
2021-11-10,25.71,6.5,22.8669,33.68,77.75,41.78,48.07,36.28,23.69,24.91
2021-11-11,25.67,6.8,22.8174,34.06,80.7,42.77,47.97,36.5,25.11,24.65
2021-11-12,24.36,6.52,22.7679,34.14,78.04,43.43,45.93,35.65,25.4,24.72
2021-11-16,23.51,6.02,22.5303,33.08,73.68,43.33,43.56,35.38,25.44,24.55
