,PRIO3.SAO,RAIZ4.SAO,ITUB4.SAO,IGTA3.SAO,ARZZ3.SAO,ENGI11.SAO,SLCE3.SAO,WEGE3.SAO,GGBR4.SAO,PSSA3.SAO
2019-01-02,2.0712,,29.8187,40.7516,53.2079,35.7237,20.2338,8.687,14.8998,22.4835
2019-01-03,2.0758,,30.3103,41.1261,53.4677,35.9118,19.3548,8.8851,14.8018,21.7702
2019-01-04,2.0932,,29.8026,40.0985,51.3032,36.1938,19.4823,8.9865,15.1939,20.8451
2019-01-07,2.0914,,29.859,39.4742,50.5336,35.7237,19.3229,8.8464,15.2331,21.2644
2019-01-08,2.1414,,30.2378,38.9459,51.9958,35.5357,18.904,8.774,15.2527,21.7875
2019-01-09,2.167,,30.6971,39.4934,53.1791,35.6767,18.4622,8.8706,15.684,21.701
2019-01-10,2.1792,,30.4876,39.1476,53.0059,36.4476,18.6171,8.9382,15.2821,22.0685
2019-01-11,2.2058,,30.3022,38.4945,51.1878,36.1938,19.2546,9.03,14.9194,23.2616
2019-01-14,2.1898,,30.5279,37.9375,50.0718,36.8519,20.1973,9.1315,14.8998,23.7112
2019-01-15,2.2,,30.0524,38.8979,50.1199,36.8049,21.2675,8.9527,14.6058,23.3869
2019-01-16,2.196,,29.9638,39.042,49.7351,36.8989,21.7229,9.1411,14.6352,22.9547
2019-01-17,2.2006,,29.9638,39.503,49.206,37.3219,20.8121,9.0832,14.7528,22.933
2019-01-18,2.236,,30.3506,39.4934,49.5427,37.2373,20.2656,9.0349,15.1841,23.5166
2019-01-21,2.3342,,30.1008,39.1284,49.3503,37.792,21.2675,9.0928,15.1939,23.3826
2019-01-22,2.2878,,30.0524,39.186,49.9179,37.792,20.5389,8.9672,15.1645,23.5728
2019-01-23,2.2778,,30.2539,40.2809,49.9275,38.45,20.3294,9.0687,15.3409,23.6766
2019-01-24,2.2352,,30.2136,40.1561,50.3701,39.0987,20.4478,9.0928,15.6742,23.6204
2019-01-28,2.146,,30.7536,40.7228,49.8121,39.6345,20.5252,9.2378,15.3311,23.6161
2019-01-29,2.1738,,30.5279,41.5775,51.4379,39.7286,20.5207,9.2813,15.3311,22.799
